signup_id,first_name,last_name,email
2-0,Evan,Jones,evan.jones@example.com
2-1,Evan,Jones,evan.jones@example.com
2-2,Charlie,Garcia,charlie.garcia@mail.com
2-3,Dana,Kim,dana.kim@example.com
2-4,Evan,Diaz,evan.diaz@mail.com
2-5,Alice,Jones,alice.jones@test.org
2-6,George,Garcia,george.garcia@example.com
2-7,Alice,Kim,alice.kim@example.com
2-8,Evan,Lee,evan.lee@test.org
2-9,Hana,Brown,hana.brown@test.org
2-10,Alice,Jones,alice.jones@example.com
2-11,Charlie,Smith,charlie.smith@mail.com
2-12,Charlie,Brown,charlie.brown@example.com
2-13,Alice,Garcia,alice.garcia@mail.com
2-14,Alice,Kim,alice.kim@example.com
2-15,Dana,Jones,dana.jones@mail.com
2-16,George,Lee,george.lee@example.com
2-17,Charlie,Lee,charlie.lee@mail.com
2-18,Alice,Lee,alice.lee@test.org
2-19,Fiona,Brown,fiona.brown@test.org
2-20,Dana,Garcia,dana.garcia@example.com
2-21,Bob,Brown,bob.brown@example.com
2-22,Hana,Patel,hana.patel@example.com
2-23,Hana,Kim,hana.kim@mail.com
2-24,Dana,Patel,dana.patel@example.com
2-25,Dana,Brown,dana.brown@mail.com
2-26,Evan,Jones,evan.jones@mail.com
2-27,Fiona,Brown,fiona.brown@test.org
2-28,Fiona,Smith,fiona.smith@example.com
2-29,Evan,Lee,evan.lee@test.org
2-30,Evan,Smith,evan.smith@example.com
2-31,George,Kim,george.kim@test.org
2-32,Fiona,Brown,fiona.brown@test.org
2-33,Bob,Brown,bob.brown@test.org
2-34,Dana,Garcia,dana.garcia@example.com
2-35,George,Smith,george.smith@test.org
2-36,Dana,Kim,dana.kim@mail.com
2-37,Bob,Kim,bob.kim@test.org
2-38,Fiona,Jones,fiona.jones@test.org
2-39,Evan,Garcia,not-an-email
2-40,George,Kim,not-an-email
2-41,Evan,Lee,evan.lee@example.com
2-42,,Brown,george.brown@test.org
2-43,Charlie,Garcia,charlie.garcia@mail.com
2-44,Alice,Garcia,alice.garcia@mail.com
2-45,Dana,Brown,dana.brown@test.org
2-46,Fiona,Diaz,fiona.diaz@mail.com
2-47,Hana,Patel,hana.patel@test.org
2-48,Hana,Lee,hana.lee@test.org
2-49,Bob,Garcia,bob.garcia@test.org
